"Prop_ID","Playground_ID","Name","Location","Accessible","lat","lon","slug","ADA_Accessible_Comfort_Station","Sensory-Friendly"
"X113","X113","Hunts Point Playground","Spofford Av between Faile St and Hunts Point Av","Yes","40.8142","-73.886","null","Accessible","Y"
"X114","X114","Goble Playground","Goble Pl between Inwood Av and Macombs Rd","Yes","40.8438","-73.9172","null","No","N"
"X115","X115","Mott Playground","Morris Av between Mc Clellan St and E. 166 St","Yes","40.8311","-73.9148","null","Not Accessible","N"
"X116","X116","Rev J Polite Playground","Rev James Polite Av to Interval Av between E. 167 St and Home St","Yes","40.8268","-73.8975","null","Not Accessible","Y"
"X118","X118-01","Soundview Park Playground","Lafayette Ave Bet Morrison & Boynton Ave","Limited","40.8196","-73.8737","null","Accessible","Y"
"X118","X118-02","Metcalf Playground","Metcalf Ave  & Seward Ave","Yes","40.8182","-73.8705","null","Accessible","N"
"X121","X121","Bufano Park Playground","Bradford Ave between La Salle Ave and Waterbury Ave","Yes","40.8379","-73.8309","null","Not Accessible","Y"
"X122","X122","Colucci Playground","Hutchinson River Pkwy. E. between Wilkinson Ave and E. 197 St","Yes","40.8522","-73.8351","null","Not Accessible","Y"
"X123","X123","Noble Playground","Noble Ave between Bronx River Av and  E. 177 St","Yes","40.8369","-73.8718","null","Accessible","Y"
"X124","X124","Watson Gleason Playground","Gleason Ave, Watson Ave between Noble Ave, and Rosedale Ave","Yes","40.8292","-73.8692","null","Not Accessible","Y"
"X126","X126-ZN04","Ferry Point Park Playground","Balcom Ave between Schley & Miles Aves","Yes","40.82","-73.8261","null","Accessible","Y"
"X131","X131","Lozada Playground","E 135 St between Alexander Av and Willis Av","Yes","40.8078","-73.925","null","Not Accessible","N"
"X136","X136-01","Harris Playground","Bedford Park Blvd W. And Paul Ave","Yes","40.8751","-73.8923","null","Accessible","Y"
"X138","X138","Playground 134 CXXXIV","E. 133 St and Bruckner Blvd between St Ann's Pl and Cypress Ave","Limited","40.8032","-73.9176","null","No","Y"
"X141","X141","Rienzi Playground","E. 226 St between White Plains Rd and Barnes Ave","Yes","40.8877","-73.8589","null","Not Accessible","Y"
"X146","X146","Flynn Playground","Brook Av to 3 Av between E. 157 St and E. 158 St","Yes","40.821","-73.9118","null","Not Accessible","N"
"X147A","X147A-01","Starlight Park Playground","Sheridan Exwy, Bronx River, south of E. 174 St Bridge","Yes","40.8344","-73.882","null","Accessible","N"
"X147B","X147B","Daniel Boone Playground","Boone Av between W. Farms Rd and Freeman St","Yes","40.8296","-73.886","null","No","N"
"X148A2","X148A2","Plimpton Playground","Plimpton Ave between W. 172 St and  Edward L Grant Hwy.","Yes","40.8439","-73.9225","null","No","Y"
"X148A3","X148A3","Bridge Playground","Boscobel Pl between Undercliff Ave & University Ave","Yes","40.8443","-73.9241","null","Accessible","Y"
"X148C5","X148C5","Jennie Jerome Playground","Jerome Av between E. 174 St and the Cross Bronx Exwy Entrance Ramp","Yes","40.8455","-73.9135","null","No","Y"
"X148C7","X148C7","Jerome Playground South","Jerome Ave between E. Mount Eden Ave & E 174th St","Limited","40.8448","-73.9138","null","No","N"
"X148D1","X148D1","Morris Mesa","Morris Ave, north of Cross Bronx Expy","Yes","40.8453","-73.9096","null","Not Accessible","Y"
"X148E","X148E","Peace Park Playground","Cross Bronx Exwy Service Rd N. between Topping Av and Clay Av","Limited","40.8452","-73.905","null","No","N"
"X148H","X148H","Admiral Farragut Playground","Cross Bronx Expy between Crotona Ave & Clinton Ave","Yes","40.8431","-73.8921","null","No","Y"
"X148H1","X148H1","Prospect Playground","Fairmount Pl between Clinton Av and Prospect Av","Limited","40.8433","-73.8907","null","No","Y"
"X148H2","X148H2","Fairmount Playground","Fairmount Pl between Prospect Ave & Marmion Ave","Limited","40.8428","-73.8896","null","No","Y"
"X148L","X148L","Virginia Playground","McGraw Av between White Plains Rd and Virginia Av","Yes","40.8343","-73.8623","null","Accessible","N"
"X148M1","X148M1","Havemeyer Playground","Watson Ave & Havemeyer Ave","Yes","40.8299","-73.848","null","Not Accessible","N"
"X150E","X150E","Fordham Landing Playground","Landing Rd, Major Deegan Exwy., Bailey ","Limited","40.8644","-73.9098","null","No","N"
"X150J","X150J-01","Bailey Playground","Bailey Ave, W. 234 St To Approximately W. 235 St","Yes","40.8812","-73.9007","null","Not Accessible","N"
"X151","X151","P.O. Serrano Playground","Olmstead Ave between Turnbull Ave and Lafayetter Ave","Yes","40.8237","-73.8503","null","Not Accessible","N"
"X152","X152","Vinmont Veteran Park Playground","W. 254 St between Riverdale Ave and Mosholu Ave","Yes","40.9021","-73.9048","null","Accessible","Y"
"X153","X153-01","Merriam Upper Playground","W 169 St & Merriam Ave","Yes","40.8404","-73.9268","null","Not Accessible","Y"
"X153","X153-02","Merriam Lower Playground","Merriam & Ogden Aves, W. 168 St, University","Yes","40.8392","-73.9262","null","No","N"
"X154","X154","Melrose Playground","Courtlandt Av between E. 154 St and E. 155 St","Yes","40.8204","-73.9181","null","No","Y"
"X155","X155","Patterson Playground","E. 148 St between Morris Ave and College Ave","Yes","40.8158","-73.9233","null","No","Y"
"X156","X156","Eastchester Playground","Adee Ave at Tenboeck Ave","Yes","40.8698","-73.8525","null","Not Accessible","N"
"X157","X157","Mazzei Playground","Mace Ave between Pauldings Ave and Williamsbridge Rd","Yes","40.8623","-73.8581","null","Not Accessible","N"
"X158","X158","Sedgwick Playground","Cross Bronx Exwy. Sr. Ramp between Undercliff Ave and Dr. MLK Jr. Blvd","Yes","40.8457","-73.9233","null","No","N"
"X159","X159","Captain William Harry Thompson Park","E. 174 St between Bronx River Ave and E. 173 St","Yes","40.8344","-73.878","null","Not Accessible","Y"
"X160","X160","Caserta Playground","St. Raymond's Ave between Odell St and Purdy St","Yes","40.8373","-73.8536","null","Not Accessible","N"
"X161","X161","Gun Hill Playground","Magenta St between Holland Ave and Cruger Ave","Yes","40.8747","-73.8653","null","Not Accessible","Y"
"X162","X162","Parkside Playground","Arnow Ave between Olinville Ave and White Plains Rd","Yes","40.8686","-73.8681","null","Accessible","N"
"X163","X163","Loreto Playground","Morris Park Ave between Haight Ave and Tomlinson Ave","Yes","40.8488","-73.8522","null","No","Y"
"X164","X164","Dawson Playground","Rogers Pl at Dawson St","Yes","40.8195","-73.8983","null","No","N"
"X165","X165","Edenwald Playground","Schieffelin Ave between E. 266 Dr. and E. 229 St","Yes","40.8839","-73.8452","null","Not Accessible","Y"
"X166","X166","Behagen Playground","Tinton Av between E. 166 St and E. 165 St","Yes","40.8253","-73.9012","null","Accessible","N"
"X168","X168","Nelson Playground","W 166 St between Woodycrest Av and Nelson Av","Yes","40.8351","-73.9267","null","Not Accessible","Y"
"X169","X169","Agnes Haywood Playground","Barnes Ave between E. 216 St and E. 215 St","Yes","40.8804","-73.8615","null","Not Accessible","N"
"X170","X170","The Pearly Gates Playground","St. Peter's Ave at Tratman Ave","Yes","40.8386","-73.8456","null","Not Accessible","Y"
"X171","X171","Spuyten Duyvil Playground","Douglas Av between W. 235 St and W. 236 St","Yes","40.8872","-73.9164","null","Not Accessible","Y"
"X172","X172","Allerton Playground","Allerton Ave between Throop Ave and Bouck Ave","Limited","40.8656","-73.8505","null","Not Accessible","N"
"X174","X174","Webster Playground","E. 188 St between Webster Ave and Park Ave","Yes","40.8594","-73.8931","null","Accessible","Y"
"X175","X175","Riverbend Playground","Bailey Ave between W. Kingsbrodge Rd and W. 193 St","Yes","40.8719","-73.906","null","Accessible","N"
"X176","X176","Taylor Playground","Guerlain St between Taylor Ave and Thieriot Ave","Yes","40.8391","-73.8662","null","Not Accessible","N"
"X177","X177","Castle Hill Playground","Castle Hill Av, Parker St","Yes","40.8389","-73.853","null","Not Accessible","N"
"X178","X178","Matthews Muliner Playground","Mathews Ave between Morris Park Ave and Rhinelander Ave","Yes","40.847","-73.8616","null","Accessible","Y"
"X179","X179","Playground 52 LII","Kelly St between Av St John and Leggett Av","Yes","40.8154","-73.9011","null","Accessible","Y"
"X180","X180","Whalen Playground","Perry Ave between E. 205 St and E. 208 St","Yes","40.8744","-73.8778","null","No","Y"
"X182","X182","Millbrook Playground","E. 135 St between Cypress Ave and St Ann's Ave","Yes","40.8045","-73.9169","null","Accessible","N"
"X183","X183","Bruckner Playground","Brinsmade Ave between Cross Bronx Ser. Rd and Swinton Ave","Yes","40.827","-73.8284","null","No","Y"
"X185","X185","Dunbar Playground","E 161 St, Trinity Av, E. 163 St, Cauldwel","Limited","40.823","-73.9064","null","No","N"
"X186","X186","Riverdale Playground","Hudson Manor Terrace between W. 237 St and W. 236 St","Limited","40.8877","-73.9149","null","Not Accessible","Y"
